iteration,bin,avg_density,avg_velocity_x,avg_velocity_y,avg_velocity_z
8000,39,3.96667,-5.06958,-66.3742,-0.590719
8000,40,3.63333,0.957152,-59.3479,-1.124
8000,41,4,1.84454,-59.807,1.2222
8000,42,3.5,-0.395632,-50.8451,2.01182
8000,43,3.93333,-6.34675,-51.9823,2.16617
8000,44,0.433333,0.780063,-6.54946,-1.4507
8000,45,12,0,0,0
8000,46,0,0,0,0
8000,47,12,0,0,0
8000,48,0,0,0,0
8000,49,0,0,0,0
10000,0,0,0,0,0
10000,1,12,0,0,0
10000,2,0,0,0,0
10000,3,12,0,0,0
10000,4,1.63333,-0.642216,-29.1546,2.18013
10000,5,3.73333,0.210127,-64.1249,-1.59336
10000,6,3.23333,1.51889,-59.2071,2.19143
10000,7,3.63333,-0.184435,-74.2677,2.65546
10000,8,3.1,-2.7766,-61.4712,0.737895
10000,9,3.73333,-4.98556,-77.4549,0.239946
10000,10,3.9,-4.48948,-83.9921,1.19848
10000,11,3.8,-1.25967,-85.8798,-1.20639
10000,12,4.13333,-2.71826,-96.1199,1.98658
10000,13,4.26667,-2.6099,-101.824,0.378698
10000,14,4.03333,-2.21774,-94.3342,2.6206
10000,15,4.43333,-2.93623,-107.191,1.56188
10000,16,4.86667,2.10288,-117.728,-0.0210469
10000,17,3.8,-1.27535,-90.7415,0.524433
10000,18,4.66667,-4.01012,-115.426,-2.58852
10000,19,4.93333,-3.1606,-125.333,-0.363756
10000,20,4.33333,-2.14034,-107.253,-1.44087
10000,21,4.8,0.340647,-117.953,0.187566
10000,22,4.9,-0.6063,-123.939,0.272386
10000,23,4.5,1.09067,-114.992,3.29748
10000,24,5.26667,1.5216,-134.136,6.1787
10000,25,4.53333,0.998604,-115.753,3.69022
10000,26,4.76667,-1.0121,-118.836,-0.388332
10000,27,4.9,-0.844881,-122.259,1.27972
10000,28,4.66667,2.27328,-117.812,0.549665
10000,29,4.36667,2.01323,-111.124,2.84137
10000,30,4.56667,-2.06806,-113.231,-3.03185
10000,31,4.4,0.111696,-109.621,-1.45576
10000,32,4.66667,1.19638,-112.584,-6.00733
10000,33,4.16667,0.909152,-99.8022,0.343843
10000,34,4.83333,3.40059,-115.009,2.1081
10000,35,3.96667,-0.165953,-88.5035,-0.910075
10000,36,4.2,2.97644,-94.3461,3.39455
10000,37,4.26667,-3.92388,-95.4984,1.32482
10000,38,3.7,2.1931,-82.7883,2.70567
10000,39,3.5,0.979952,-77.1083,-2.12908
10000,40,3.86667,-1.68118,-72.7622,-2.02902
10000,41,3.5,-2.62591,-71.0909,-1.88847
10000,42,3.5,1.68494,-62.5315,4.39462
10000,43,4.1,1.5335,-74.5779,2.32305
10000,44,0.5,-1.49467,-7.65465,-0.944014
10000,45,12,0,0,0
10000,46,0,0,0,0
10000,47,12,0,0,0
10000,48,0,0,0,0
10000,49,0,0,0,0
12000,0,0,0,0,0
12000,1,12,0,0,0
12000,2,0,0,0,0
12000,3,12,0,0,0
12000,4,1.53333,2.73239,-30.8509,1.20776
12000,5,3.83333,-1.63723,-88.8612,1.65545
12000,6,3.63333,2.87935,-85.0569,-0.341042
12000,7,3.13333,3.60062,-74.3954,3.69331
12000,8,3.76667,-0.303566,-93.9095,-2.86888
12000,9,3.53333,2.91562,-88.3666,2.16899
12000,10,4.3,0.0176534,-114.626,1.931
12000,11,3.83333,2.22349,-103.35,4.24134
12000,12,4,5.68136,-109.096,-0.0703915
12000,13,4.2,1.96071,-116.8,-0.194909
12000,14,4.33333,-0.0947315,-120.732,2.62828
12000,15,4.13333,-0.778906,-117.574,-2.12828
12000,16,4.86667,-0.566044,-143.258,0.788569
12000,17,4.5,-0.713241,-128.722,0.788382
12000,18,4.73333,-0.874593,-138.904,-3.07708
12000,19,5.03333,0.165818,-149.498,2.66878
12000,20,4.73333,-0.229066,-138.766,1.89499
12000,21,5.06667,0.652102,-151.375,0.880919
12000,22,4.7,-1.82489,-139.864,-0.222988
12000,23,4.8,-1.48144,-146.997,0.043133
12000,24,4.73333,-1.10419,-141.999,4.19224
12000,25,4.9,1.09038,-145.412,-2.17015
12000,26,4.53333,1.41629,-135.109,-3.87749
12000,27,4.83333,0.0698756,-139.807,3.73791
12000,28,4.56667,-0.586323,-138.128,0.432085
12000,29,4.8,-0.899326,-138.731,-1.52145
12000,30,4.53333,-2.8319,-132.351,-1.30841
12000,31,4.33333,-0.533976,-127.862,-0.367993
12000,32,4.66667,-9.57958,-132.954,-1.95474
12000,33,4.23333,-2.2815,-120.261,4.57113
12000,34,4.06667,-1.66983,-114.01,0.296913
12000,35,3.96667,-1.70388,-111.609,-0.584917
12000,36,4.2,-0.133722,-115.01,5.50996
12000,37,3.76667,-1.60283,-97.822,2.22536
12000,38,3.6,-2.72756,-97.3546,1.33744
12000,39,3.83333,-1.70029,-95.2858,-0.749923
12000,40,3.56667,0.697834,-87.0246,1.84385
12000,41,3.46667,-3.20299,-85.2611,2.58297
12000,42,3.06667,0.767801,-72.347,0.518567
12000,43,3.83333,-1.86353,-85.7287,-0.508409
12000,44,0.5,-0.109347,-11.1072,0.955619
12000,45,12,0,0,0
12000,46,0,0,0,0
12000,47,12,0,0,0
12000,48,0,0,0,0
12000,49,0,0,0,0
14000,0,0,0,0,0
14000,1,12,0,0,0
14000,2,0,0,0,0
14000,3,12,0,0,0
14000,4,1.76667,-0.166974,-48.541,1.6362
14000,5,3.66667,-2.13157,-99.5009,-1.5177
14000,6,3.16667,-4.23028,-91.2858,4.26557
14000,7,3.3,-4.32259,-95.3005,-2.72523
14000,8,3.46667,-4.06169,-103.24,1.37605
14000,9,3.9,2.97547,-112.825,3.08411
14000,10,3.5,1.79524,-106.039,-1.35388
14000,11,3.53333,-1.24981,-108.219,1.57979
14000,12,4.53333,3.4854,-141.12,4.58359
14000,13,4.2,1.26813,-139.158,-0.364541
14000,14,4.26667,2.79876,-141.376,1.70318
14000,15,4.33333,-3.63881,-145.117,1.69442
14000,16,3.83333,-1.3178,-130.138,0.646211
14000,17,4.56667,1.37154,-154.541,2.06515
14000,18,5.03333,0.709472,-173.971,2.58702
14000,19,5.23333,3.89656,-175.981,0.267741
14000,20,4.5,4.52823,-152.334,-1.89525
14000,21,4.7,1.12943,-161.166,-1.52694
14000,22,5.26667,-0.59842,-182.739,0.914401
14000,23,4.53333,2.87448,-155.147,-1.37659
14000,24,4.9,-0.663867,-168.132,-2.66311
14000,25,4.8,1.87028,-164.538,3.8391
14000,26,4.83333,0.313772,-163.828,-1.34265
14000,27,4.66667,3.2257,-158.976,1.4359
14000,28,4.66667,2.4823,-159.946,-0.65546
14000,29,4.23333,3.66148,-145.131,-0.634464
14000,30,4.93333,0.784199,-168.972,1.72898
14000,31,4.76667,3.28638,-160.113,0.454994
14000,32,4.23333,4.9883,-141.017,-0.376868
14000,33,4.66667,-2.88775,-154.599,-2.02762
14000,34,4.66667,4.11747,-153.892,-2.13006
14000,35,4.46667,3.52237,-146.265,2.38854
14000,36,3.83333,-0.71132,-122.174,2.25146
14000,37,3.76667,2.64747,-120.548,2.83858
14000,38,4.06667,0.134345,-122.635,2.25246
14000,39,3.7,0.691671,-109.382,2.62834
14000,40,3.53333,1.68441,-103.308,-1.5329
14000,41,3.13333,2.09272,-87.9388,-0.506092
14000,42,3.53333,0.530986,-103.239,-1.06528
14000,43,3.66667,4.31969,-101.542,-2.28913
14000,44,0.3,0.0457296,-8.58219,-1.73394
14000,45,12,0,0,0
14000,46,0,0,0,0
14000,47,12,0,0,0
14000,48,0,0,0,0
14000,49,0,0,0,0
16000,0,0,0,0,0
16000,1,12,0,0,0
16000,2,0,0,0,0
16000,3,12,0,0,0
16000,4,1.46667,-1.16995,-45.6265,-0.664039
16000,5,2.96667,-0.580567,-94.2635,1.6562
16000,6,2.93333,-2.64529,-94.7436,-1.08291
16000,7,3.2,-0.343889,-107.577,2.44388
16000,8,3.2,5.89646,-107.83,0.444655
16000,9,3.16667,-1.79706,-105.886,-0.257703
16000,10,3.53333,4.97933,-123.098,-0.471726
16000,11,3.96667,-3.91335,-145.711,0.172402
16000,12,3.4,-0.535982,-120.671,3.1023
16000,13,4.26667,-1.26207,-158.271,2.44931
16000,14,3.86667,4.22915,-144.061,1.15861
16000,15,4.56667,0.919956,-171.422,5.86009
16000,16,4.63333,-0.841359,-181.661,-0.173002
16000,17,4.63333,-2.74566,-176.915,-1.06795
16000,18,4.73333,2.93172,-179.389,1.79629
16000,19,4.43333,-1.23033,-170.774,2.25977
16000,20,5.26667,-1.15777,-203.428,2.00128
16000,21,4.73333,0.886265,-185.582,1.72288
16000,22,4.83333,-1.13854,-188.142,0.624137
16000,23,5.1,-0.24478,-200.714,-6.60854
16000,24,5.4,0.123624,-207.91,-1.35453
16000,25,4.96667,-0.492224,-192.287,0.169684
16000,26,4.73333,-0.474003,-183.703,2.69619
16000,27,4.6,3.28465,-179.052,-1.48777
16000,28,4.86667,3.35382,-188.117,1.54553
16000,29,4.8,0.0208572,-185.307,-0.924825
16000,30,5.06667,3.17867,-194.856,1.90965
16000,31,4.3,0.0366383,-168.081,1.8122
16000,32,5.26667,-2.86863,-200.915,0.991534
16000,33,4.43333,-0.379419,-167.023,-2.76721
16000,34,4.4,-1.07842,-164.111,2.17567
16000,35,4.06667,2.64625,-147.965,2.44699
16000,36,4.73333,0.959324,-177.05,-3.8841
16000,37,4.16667,2.19032,-150.408,-0.0200186
16000,38,4.06667,-1.42595,-141.656,-3.97728
16000,39,3.5,1.82993,-125.69,3.88418
16000,40,3.36667,0.391899,-115.535,-0.407885
16000,41,3.43333,-0.764266,-113.649,4.49799
16000,42,3.53333,-4.63473,-116.59,-0.854357
16000,43,3.56667,-1.80179,-119.206,0.549124
16000,44,0.5,2.0975,-18.0609,-0.647236
16000,45,12,0,0,0
16000,46,0,0,0,0
16000,47,12,0,0,0
16000,48,0,0,0,0
16000,49,0,0,0,0
18000,0,0,0,0,0
18000,1,12,0,0,0
18000,2,0,0,0,0
18000,3,12,0,0,0
18000,4,1.7,0.243283,-65.0638,3.06096
18000,5,3.4,-3.11229,-132.136,4.60049
18000,6,3.1,1.43056,-120.644,-5.18888
18000,7,2.73333,-2.20348,-102.28,2.10106
18000,8,3.46667,-4.1513,-134.351,-4.55911
18000,9,3.16667,2.52147,-127.854,1.50988
18000,10,3.93333,-0.036802,-158.526,-1.7739
18000,11,3.46667,-1.6235,-137.7,1.69874
18000,12,3.73333,0.920885,-153.129,2.31314
18000,13,4.3,-3.78572,-173.851,3.48552
